Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6),Date
"6,000,001 Barrels and Over",15,"135,615,117.47","124,049,346.77","5,331,930.36",2017
"2,000,000 to 6,000,000 Barrels",5,"17,288,133.20","16,092,810.95","1,015,504.88",2017
"1,000,001 to 1,999,999 Barrels",4,"4,868,564.08","4,897,090.56","4,110.40",2017
"500,001 to 1,000,000 Barrels",10,"6,253,029.02","5,720,117.89","94,410.33",2017
"100,001 to 500,000 Barrels",40,"8,792,844.25","6,811,548.01","235,283.84",2017
"60,001 to 100,000 Barrels",41,"3,175,932.85","2,714,928.75","47,505.37",2017
"30,001 to 60,000 Barrels",53,"2,230,144.53","1,940,812.97","27,479.68",2017
"15,001 to 30,000 Barrels",99,"2,062,332.14","2,239,986.46","38,491.22",2017
"7,501 to 15,000 Barrels",152,"1,565,335.71","1,556,842.26","6,874.60",2017
"1,001 to 7,500 Barrels","1,030","2,656,419.36","3,626,288.32","11,294.07",2017
"1 to 1,000 Barrels ","3,646","1,073,977.86","1,003,361.14",790.59,2017
Under 1 Barrel,553,6.73,"107,494.10",503.53,2017
"6,000,001 Barrels and Over",14,"131,659,359.17","119,774,531.97","5,066,076.38",2016
"2,000,000 to 6,000,000 Barrels",7,"26,452,765.43","25,147,830.59","898,290.35",2016
"1,000,001 to 1,999,999 Barrels",4,"4,999,263.95","4,994,536.90","47,250.18",2016
"500,001 to 1,000,000 Barrels",6,"4,293,996.90","4,014,943.39","4,748.99",2016
"100,001 to 500,000 Barrels",45,"10,469,048.22","8,618,323.45","276,289.46",2016
"60,001 to 100,000 Barrels",38,"3,052,311.48","2,395,062.26","48,970.93",2016
"30,001 to 60,000 Barrels",53,"2,329,947.35","2,069,205.94","85,136.87",2016
"15,001 to 30,000 Barrels",75,"1,577,515.39","1,341,223.91","37,302.60",2016
"7,501 to 15,000 Barrels",148,"1,550,640.42","1,351,541.96","11,813.32",2016
"1,001 to 7,500 Barrels",935,"2,461,722.99","2,282,897.14","13,608.25",2016
"1 to 1,000 Barrels ","3,283","993,337.92","864,097.20",889.04,2016
Under 1 Barrel,488,4.43,"102,983.40",601.98,2016
"6,000,001 Barrels and Over",15,"136,122,437.44","124,274,009.86","4,949,737.19",2015
"2,000,000 to 6,000,000 Barrels",6,"23,939,648.17","23,001,189.23","731,500.80",2015
"1,000,001 to 1,999,999 Barrels",4,"4,997,347.64","4,983,601.48","50,188.48",2015
"500,001 to 1,000,000 Barrels",7,"5,050,717.11","4,821,272.06","16,414.10",2015
"100,001 to 500,000 Barrels",49,"10,645,528.10","8,697,815.57","336,057.52",2015
"60,001 to 100,000 Barrels",24,"1,887,855.83","1,583,089.18","23,158.65",2015
"30,001 to 60,000 Barrels",56,"2,453,623.13","2,185,447.02","29,356.22",2015
"15,001 to 30,000 Barrels",71,"1,509,411.47","1,294,031.85","40,755.39",2015
"7,501 to 15,000 Barrels",133,"1,427,754.07","1,203,851.81","25,574.94",2015
"1,001 to 7,500 Barrels",851,"2,242,859.09","1,978,577.42","6,661.33",2015
"1 to 1,000 Barrels ","2,812","835,835.99","733,307.88","1,892.46",2015
Zero Barrels ,476,0,"87,811.22",0.00,2015
"6,000,001 Barrels and Over",15,"138,677,888.13","127,713,535.80","4,331,255.24",2014
"2,000,000 to 6,000,000 Barrels",6,"25,151,895.32","23,845,947.59","610,799.51",2014
"1,000,001 to 1,999,999 Barrels",5,"6,055,336.28","5,863,392.69","43,468.52",2014
"500,001 to 1,000,000 Barrels",6,"3,836,841.48","3,593,230.98","9,185.76",2014
"100,001 to 500,000 Barrels",44,"9,093,514.82","7,116,673.80","344,448.36",2014
"60,001 to 100,000 Barrels",20,"1,548,669.55","1,383,528.02","20,895.86",2014
"30,001 to 60,000 Barrels",62,"2,639,561.55","2,301,357.80","40,785.96",2014
"15,001 to 30,000 Barrels",62,"1,310,960.09","1,070,829.91","71,296.98",2014
"7,501 to 15,000 Barrels",102,"1,042,199.42","916,679.91","22,024.91",2014
"1,001 to 7,500 Barrels",730,"1,959,533.50","1,701,354.40","12,954.04",2014
"1 to 1,000 Barrels ","2,321","698,737.88","607,290.33","1,547.17",2014
"6,000,001 Barrels and Over",17,"153,023,498.63","141,659,034.45","4,385,750.82",2013
"2,000,000 to 6,000,000 Barrels",4,"13,394,409.41","12,862,214.07","495,472.05",2013
"1,000,001 to 1,999,999 Barrels",4,"4,821,249.30","4,665,737.17","35,344.17",2013
"500,001 to 1,000,000 Barrels",7,"4,797,758.09","4,476,211.00","4,972.90",2013
"100,001 to 500,000 Barrels",38,"7,637,584.41","6,147,217.43","275,310.15",2013
"60,001 to 100,000 Barrels",24,"1,824,548.27","1,608,488.44","24,431.21",2013
"30,001 to 60,000 Barrels",52,"2,271,814.70","1,909,650.87","58,028.54",2013
"15,001 to 30,000 Barrels",51,"1,087,970.73","921,515.39","18,103.53",2013
"7,501 to 15,000 Barrels",81,"842,820.06","740,591.81","6,428.53",2013
"1,001 to 7,500 Barrels",645,"1,693,579.73","1,479,649.00","6,369.45",2013
"1 to 1,000 Barrels ","1,923","602,141.42","528,020.28",922.77,2013
"6,000,001 Barrels and Over",17,"157,780,750.15","145,588,666.77","4,373,957.04",2012
"2,000,000 to 6,000,000 Barrels",3,"11,735,116.00","11,489,249.17","151,766.17",2012
"1,000,001 to 1,999,999 Barrels",5,"6,864,214.06","6,526,545.81","75,749.98",2012
"500,001 to 1,000,000 Barrels",7,"4,654,830.64","3,809,078.87","4,634.92",2012
"100,001 to 500,000 Barrels",39,"7,810,357.34","6,085,448.83","236,207.55",2012
"60,001 to 100,000 Barrels",20,"1,468,172.46","1,250,720.93","97,318.04",2012
"30,001 to 60,000 Barrels",50,"2,179,429.59","1,858,876.35","62,416.26",2012
"15,001 to 30,000 Barrels",44,"913,884.27","764,190.60","13,281.07",2012
"7,501 to 15,000 Barrels",77,"821,100.64","715,087.67","11,054.03",2012
"1,001 to 7,500 Barrels",564,"1,402,600.67","1,249,661.17","3,610.03",2012
"1 to 1,000 Barrels ","1,604","516,746.49","459,217.49","1,220.38",2012
"6,000,001 Barrels and Over",16,"138,963,353.84","128,108,304.25","3,578,089.34",2011
"2,000,000 to 6,000,000 Barrels",5,"17,703,591.00","16,695,626.31","84,271.18",2011
"1,000,001 to 1,999,999 Barrels",9,"13,524,548.35","12,843,570.78","363,998.23",2011
"500,001 to 1,000,000 Barrels",11,"8,448,633.99","7,946,481.07","50,702.23",2011
"100,001 to 500,000 Barrels",41,"7,926,808.21","6,624,765.18","242,865.43",2011
"60,001 to 100,000 Barrels",16,"1,157,839.90","1,059,934.77","11,701.43",2011
"30,001 to 60,000 Barrels",43,"1,754,234.55","1,476,996.37","52,204.69",2011
"15,001 to 30,000 Barrels",42,"893,273.36","710,825.62","40,413.02",2011
"7,501 to 15,000 Barrels",63,"662,095.46","577,424.67",270.75,2011
"1,001 to 7,500 Barrels",513,"1,254,333.75","1,126,835.82",930.14,2011
"1 to 1,000 Barrels ","1,334","458,109.83","416,612.28",580.62,2011
"6,000,001 Barrels and Over",17,"160,771,860.70","149,598,222.82","3,659,459.42",2010
"1,000,000 to 6,000,000 Barrels (5)",5,"15,450,769.10","14,777,149.88","37,401.27",2010
"500,001 to 1,000,000 Barrels",9,"7,138,171.64","6,362,275.19","16,610.42",2010
"100,001 to 500,000 Barrels",32,"6,123,725.23","5,127,607.79","254,925.11",2010
"60,001 to 100,000 Barrels",16,"1,226,091.75","1,034,161.39","12,534.00",2010
"30,001 to 60,000 Barrels",38,"1,544,051.10","1,256,492.48","42,409.47",2010
"15,001 to 30,000 Barrels",40,"911,065.75","781,016.15","19,077.36",2010
"7,501 to 15,000 Barrels",51,"560,159.34","465,843.88","4,521.08",2010
"1,001 to 7,500 Barrels",428,"1,059,505.16","962,969.63","2,227.70",2010
"1 to 1,000 Barrels ","1,178","426,003.38","393,941.57","1,279.83",2010
"6,000,001 Barrels and Over",18,"171,232,881.59","159,643,984.23","3,639,970.11",2009
"1,000,001 to 6,000,000 Barrels (5)",4,"9,970,404.28","9,592,722.75","14,548.37",2009
"500,001 to 1,000,000 Barrels",7,"4,831,385.68","4,535,659.48","21,563.66",2009
"100,001 to 500,000 Barrels",27,"5,422,155.72","4,469,288.93","128,000.13",2009
"60,001 to 100,000 Barrels",19,"1,501,976.56","1,224,618.44","95,732.77",2009
"30,001 to 60,000 Barrels",32,"1,412,244.73","1,233,958.75","14,369.85",2009
"15,001 to 30,000 Barrels",40,"895,133.22","750,528.77","19,808.10",2009
"7,501 to 15,000 Barrels",42,"442,753.54","388,968.45",240.18,2009
"1,001 to 7,500 Barrels",357,"859,934.81","769,155.15",,2009
"1 to 1,000 Barrels ","1,037","400,401.17","371,872.85",,2009
Under 1 Barrel,195,3.7,"14,711.36",,2009
"6,000,001 Barrels and Over",17,"167,562,085.40","153,687,098.69","2,410,884.99",2007
"1,000,001 to 6,000,000 Barrels (5)",3,"13,003,841.85","12,705,937.93","1,110,458.58",2007
"500,001 to 1,000,000 Barrels",10,"6,641,984.43","6,361,689.70","107,036.38",2007
"100,001 to 500,000 Barrels",24,"4,972,430.67","3,920,412.25","133,170.81",2007
"60,001 to 100,000 Barrels",20,"1,513,844.02","1,229,995.99","2,777.13",2007
"30,001 to 60,000 Barrels",34,"1,441,864.66","1,220,403.56","56,713.40",2007
"15,001 to 30,000 Barrels",26,"538,169.53","507,959.18","1,560.71",2007
"7,501 to 15,000 Barrels",41,"452,233.35","435,496.75",579.92,2007
"1,001 to 7,500 Barrels",356,"819,158.91","748,857.91","2,168.69",2007
"1 to 1,000 Barrels ",909,"355,171.47","333,645.08",532.71,2007
Under 1 Barrel,179,0.8,"10,299.88","1,848.39",2007
