Links,Open,Craft Beer,Address,Closed,Type,Coordinates,Lat,Lon
"2Kids Brewing Co. (Mira Mesa, 2013)",2013,2Kids Brewing Co.,"8680 Miralani Drive #123, San Diego, CA 92126",,craft brewhouse / nanobrewery,"32.8966532, -117.1372753",32.8966532,-117.1372753
"3 Punk Ales (Three Punks Ale) (Chula Vista, 2017)",2017,3 Punk Ales,"259 3rd Avenue, Chula Vista, California 91910 ",,craft brewhouse,"32.6428434, -117.0801667",32.6428434,-117.0801667
"32 North Brewing Co. (Miramar, 2014)",2014,32 North Brewing,"8555 Production Avenue, Suite A, San Diego, CA 92121",,taproom,"32.8806222, -117.1652732",32.8806222,-117.1652732
"Abnormal Beer Company (Rancho Bernardo, 2015)",2015,Abnormal Beer Company,"16990 Via Tazon, Suite 124, San Diego, CA 92127",,brewery restaurant,"33.0236355, -117.0859077",33.0236355,-117.0859077
Acoustic Ales Brewing Experiment,2018,Acoustic Ales Brewing Experiment,"1795 Hancock Street, Suite P1, San Diego, CA 92110",,tasting room,"32.7422734, -117.1846480",32.7422734,-117.184648
"AleSmith Brewing Company (Miramar, 1995; 2015)",1995,AleSmith Brewing Company,"9990 AleSmith Ct., San Diego, CA 92126",,tasting room,"32.8882176, -117.1498210",32.8882176,-117.149821
"Align Brewing Company (Miramar, 2017) *",2017,Align Brewing Co.,"8680 Miralani Dr, San Diego, CA 92121",,taproom,"32.8966532, -117.1372753",32.8966532,-117.1372753
"Alpine Beer Company (Alpine, 2002; purchased by Green Flash, 2014; a brand of WC IPA LLC as of March 2018))",2018,Alpine Beer Company,"2351 Alpine Boulevard, Alpine CA 91901",,taproom,"32.8351688, -116.7626655",32.8351688,-116.7626655
"Alta Brewing (Barrio Logan, 2017, 2018) *",2017,Alta Brewing Company,"1983 Julian Ave San Diego, California ",,taproom,"32.7018919, -117.1412748",32.7018919,-117.1412748
"Amplified Ale Works (Pacific Beach, 2012)",2012,Amplified Ale Works,"4150 Mission Blvd #208, San Diego, CA 92109",,taproom,"32.7917660, -117.2543247",32.791766,-117.2543247
"Amplified Ale Works (Miramar, 2016)",2016,Amplified Ale Works,"9030 Kenamar Drive, Unit 309, San Diego, CA 92121",,taproom,"32.8866311, -117.1571274",32.8866311,-117.1571274
"Arcana Brewing Co. (Carlsbad, 2012)",2012,Arcana Brewing Co.,"5621 Palmer Way, Suite C, Carlsbad, CA 92010",,taproom,"33.1402460, -117.2738700",33.140246,-117.27387
Attitude Brewing Company ,2018,Attitude Brewing Company,"1985 National Ave Ste 1115, San Diego, CA 92113",,taproom,"32.7000923, -117.1446282",32.7000923,-117.1446282
"Automatic Brewing Company (Normal Heights, 2010)",2010,Automatic Brewing Company,"3416 Adams Avenue, San Diego, CA 92116",,taproom,"32.7634980, -117.1203007",32.763498,-117.1203007
"Aztec Brewing Company (Vista, 2011)",2011,Aztec Brewing Company,"2330 La Mirada Dr. Suite 300, Vista CA 92081",,taproom,"33.1496470, -117.2300400",33.149647,-117.23004
"Back Street Brewery (Vista, 2004)",2004,Back Street Brewery,"15 Main Street, Suite #100, Vista, CA 92084",,taproom,"33.2000080, -117.2447420",33.200008,-117.244742
"Bagby Beer Company (Oceanside, 2014)",2014,Bagby Beer Company,"601 South Coast Highway, Oceanside CA 92054",,brewery restaurant,"33.1893679, -117.3743490",33.1893679,-117.374349
Ballast Point Brewing & Spirits - Scripps Ranch,2006,Ballast Point Brewing & Spirits - Scripps Ranch,"10051 Old Grove Road, San Diego, CA 92131",,brewery restaurant,"32.8985252, -117.1109407",32.8985252,-117.1109407
"Ballast Point Brewing & Spirits (Miramar, 2014; "")",2014,Ballast Point Brewing & Spirits (Miramar),"9045 Carroll Way, San Diego, CA",,brewery restaurant,"32.8879565, -117.1579086",32.8879565,-117.1579086
Ballast Point Brewing & Spirits - Home Brew Mart,1996,Ballast Point Brewing & Spirits - Home Brew Mart,"5401 Linda Vista Rd., Suite 406, San Diego, CA 92110",,brewery restaurant,"32.7667161, -117.1952639",32.7667161,-117.1952639
Ballast Point Brewing & Spirits - Little Italy,2013,Ballast Point Brewing & Spirits - Little Italy,"2215 India Street, San Diego, CA 92101",,brewery restaurant,"32.7276346, -117.1697179",32.7276346,-117.1697179
"Barn Brewery (North Park, 2016) *",2016,Barn Brewery,"2850 El Cajon Boulevard Ste 3, San Diego, CA 92104",,brewery restaurant,"32.7555903, -117.1323809",32.7555903,-117.1323809
"Barrel Harbor (Vista, 2013)",2013,Barrel Harbor,"2575 Pioneer Avenue #104, Vista, CA 92081",,tasting room,"33.1488745, -117.2215877",33.1488745,-117.2215877
"Barrel Harbor (Vista, 2013)",2013,Barrel Harbor,"8990 Miramar Road, #150, San Diego, CA 92126",,tasting room,"32.8953877, -117.1323690",32.8953877,-117.132369
"Barrel Harbor (Vista, 2013)",2013,Barrel Rescue,"8125 Ronson Rd, Unit F, San Diego, CA 92111",,tasting room,"32.8289272, -117.1479941",32.8289272,-117.1479941
"Battlemage Brewing Company (Vista, 2017)",2017,Battlemage Brewing Company,"2870 Scott St, Vista, CA 92081",,tasting room,"33.1402282, -117.2274366",33.1402282,-117.2274366
"Bay Bridge Brewing Co. (Chula Vista, 2006) *",2006,Bay Bridge Brewing,"688 Marsat Court Suite B, Chula Vista, CA 91911",,tasting room,"32.6011946, -117.0832236",32.6011946,-117.0832236
"Bay City Brewing (Loma Portal, 2015)",2015,Bay City Brewing,"3760 Hancock St, San Diego, CA 92110",,tasting room,"32.7580336, -117.2118028",32.7580336,-117.2118028
"Beach Grease Beer Co.  (Vista, 2018; bought the former SpecHops) *",2018,Beach Grease Bear Co.,"1280 Activity Dr, Vista, CA 92081",,tasting room,"33.1419452, -117.2194286",33.1419452,-117.2194286
"Bear Roots Brewing Co. (Vista, 2015)",2015,Bear Roots Brewing Co.,"1213 S. Santa Fe Avenue, Vista, CA 92083",,tasting room,"33.1882451, -117.2263421",33.1882451,-117.2263421
"Belching Beaver Brewing (Original Location – Vista, 2012)",2012,Belching Beaver Brewery,"980 Park Center Drive, Suite A, Vista, CA 92081",,tasting room,"33.1450194, -117.2296725",33.1450194,-117.2296725
"Belching Beaver Brewing (New HQ – Oceanside, 2016)",2016,Belching Beaver Brewery,"1334 Rocky Point Dr, Oceanside, CA 92056",,tasting room,"33.2125240, -117.2915874",33.212524,-117.2915874
"Belching Beaver Brewery Tavern & Grill (Vista, 2016)",2016,Belching Beaver Brewery Tavern & Grill,"302 East Broadway, Vista, CA 92084",,tasting room,"33.2021206, -117.2410235",33.2021206,-117.2410235
"The Bell Marker Brewery and Kitchen (Downtown, 2018)",2018,Bell Marker Brewery and Kitchen ,"602 Broadway, San Diego, CA 92101",,tasting room,"32.7158508, -117.1590883",32.7158508,-117.1590883
"Benchmark Brewing (Grantville, 2013)",2013,Benchmark Brewing,"6190 Fairmount ave. Suite G, San Diego, CA 92120",,tasting room,"32.7872447, -117.1020698",32.7872447,-117.1020698
"Bitter Brothers Brewing (Bay Ho, 2016)",2016,Bitter Brothers Brewing,"4170 Morena Blvd, San Diego, CA 92117",,tasting room,"32.8157824, -117.2201636",32.8157824,-117.2201636
"Black Plague Brewing (Oceanside, June 10, 2017)",2017,Black Plague Brewing,"2550 Jason Ct, Oceanside, CA 92056",,tasting room,"33.2156117, -117.2667390",33.2156117,-117.266739
"BNS Brewing & Distilling (Santee, 2013)",2013,BNS Brewing & Distilling,"10960 Wheatlands Avenue #101, Santee, CA 92071",,tasting room,"32.8466231, -116.9583633",32.8466231,-116.9583633
"Bolt Brewing Co. (La Mesa, 2014)",2014,Bolt Brewing Co.,"8179 Center Street, La Mesa, CA 91942",,tasting room,"32.7718969, -117.0205938",32.7718969,-117.0205938
"Booze Brothers (Vista, 2013)",2013,Booze Brothers Brewing Co.,"2545 Progress St. Suite D, Vista, CA 92081",,tasting room,"33.1481820, -117.2181424",33.148182,-117.2181424
"Border X Brewing (Barrio Logan, 2013)",2013,Border X Brewing,"8684 Avenida de la Fuente Suite 8, San Diego, CA 92154",,tasting room,"32.5567267, -116.9567731",32.5567267,-116.9567731
"Breakwater Brewing Company (Oceanside, 2008)",2008,Breakwater Brewing Company,"101 N. Coast Highway, Oceanside, CA 92054",,tasting room,"33.1950924, -117.3791266",33.1950924,-117.3791266
"Burgeon Beer Company (Carlsbad, 2016)",2016,Burgeon Beer Company,"6350 Yarrow Dr, Suite C, Carlsbad, CA 92011",,tasting room,"33.1197823, -117.2729390",33.1197823,-117.272939
Burning Beard Brewing (El Cajon 2016),2016,Burning Beard Brewing Company,"785 Vernon Way, El Cajon, CA 92020",,tasting room,"32.8117415, -116.9724106",32.8117415,-116.9724106
"California Wild Ales (Sorrento Valley, 2017) *",2017,California Wild Ales,"4202 Sorrento Valley BLVD, Suite L&M, San Diego, CA 92121",,tasting room,"32.9050831, -117.2151184",32.9050831,-117.2151184
ChuckAlek Independent Brewers,,ChuckAlek Independent Brewers,"2330 Main St, Suite C, Ramona, CA 92065",10,tasting room,"33.0277812, -116.8892148",33.0277812,-116.8892148
"Chula Vista Brewery (Chula Vista, 2017) *",2017,Chula Vista Brewery,"294 3rd Ave, Chula Vista, CA 91910",,tasting room,"32.6415632, -117.0803328",32.6415632,-117.0803328
"Circle 9 Brewing (Kearny Mesa, 2017)",2017,Circle 9 Brewing,"7292 Opportunity Rd, San Diego, CA 92111",,tasting room,"32.8257279, -117.1607576",32.8257279,-117.1607576
"Coronado Brewing Company (Coronado, 1996)",1996,Coronado Brewing Company,"170 Orange Avenue, Coronado, CA 92118",,tasting room,"32.6977694, -117.1732329",32.6977694,-117.1732329
"Coronado Brewing Company (Bay Park, 2013)",2013,Coronado Brewing Company,"1205 Knoxville Street, San Diego, CA 92110",,tasting room,"32.7718721, -117.2045788",32.7718721,-117.2045788
"Council Brewing (Santee, May 2018: purchased the former Finest Made Ales)",2014,Council Brewing Co.,"9962 Prospect Ave, Santee, CA 92071",,tasting room,"32.8319916, -116.9796314",32.8319916,-116.9796314
"Council Brewing  (Kearny Mesa, 2014)",2014,Council Brewing Co.,"7705 Convoy Court, San Diego, CA 92111",,tasting room,"32.8345474, -117.1544514",32.8345474,-117.1544514
"Culture Brewing Co. (Solana Beach, 2013)",2013,Culture Brewing Co.,"111 S. Cedros Ave Suite 200, Solana Beach, CA 92075",,tasting room,"32.9915796, -117.2707116",32.9915796,-117.2707116
"Culver Beer Co. (Carlsbad, 2016)",2016,Culver Beer Co.,"2719 Loker Avenue West Suite D, Carlsbad, CA, 92010",,tasting room,"33.1326935, -117.2585179",33.1326935,-117.2585179
"Deft Brewing (Bay Park, 2017)",2017,Deft Brewing,"5328 Banks Street, Ste A, San Diego, CA 92110",,tasting room,"32.7643879, -117.1989393",32.7643879,-117.1989393
"Division 23 Brewing (Miramar, 2015)",2015,Division 23 Brewing,"7408 Trade St, San Diego, California 92121",,tasting room,"32.8903390, -117.1628980",32.890339,-117.162898
"Dos Desperados (San Marcos, 2014)",2014,Dos Desperados Brewing,"1241 Linda Vista Drive, San Marcos, CA 92078",,tasting room,"33.1369175, -117.1934247",33.1369175,-117.1934247
"Duck Foot (Miramar, 2015)",2015,Duck Foot Brewing Co.,"8920 Kenamar Dr. Suite #210, San Diego, CA 92121",,tasting room,"32.8854988, -117.1563922",32.8854988,-117.1563922
"Ebullition Brew Works (Vista, 2017)",2017,Ebullition Brew Works,"2449 Cades, Suite D, Vista, CA 92081",,tasting room,"33.1537956, -117.2241602",33.1537956,-117.2241602
Embarcadero Brewing Company (National City; soft open 9/27/2018) *,2018,Embarcadero Brewing & Supply Company,"340 W 26th St Ste D, National City, CA 91950",,tasting room,"32.6583739, -117.1046897",32.6583739,-117.1046897
"Eppig Brewing (North Park, 2016)",2016,Eppig Brewing,"3052 El Cajon Blvd., Suite C San Diego, CA 92104",,tasting room,"32.7555796, -117.1287502",32.7555796,-117.1287502
"Escondido Brewing Co. (Escondido, 2017)",2017,Escondido Brewing Company,"649 Rock Springs Road, Escondido, CA 92025",,tasting room,"33.1245770, -117.0970089",33.124577,-117.0970089
"Fall Brewing Co. (North Park, 2014)",2014,Fall Brewing Co.,"4532 30th Street, San Diego, CA 92104",,tasting room,"32.7598158, -117.1304601",32.7598158,-117.1304601
Fallbrook Brewing Company,2013,Fallbrook Brewing Company,"136 N Main Ave, Fallbrook, CA 92028",,tasting room,"33.3827003, -117.2515165",33.3827003,-117.2515165
"Fourpenny House (La Mesa, soft open 3/31/2018)",2018,Fourpenny House,"8323 La Mesa Blvd., La Mesa, CA 91942",,tasting room,"32.7648916, -117.0183293",32.7648916,-117.0183293
"Gordon Biersch Brewery Restaurant (Mission Valley, 1998)",1998,Gordon Biersch Brewery Restaurant,"5010 Mission Center Road, San Diego, CA 92108",,tasting room,"32.7670751, -117.1539108",32.7670751,-117.1539108
"Green Flash Brewing Co. (Mira Mesa, 2002; under new ownership as of 4/2018)",2002,Green Flash Brewing Co.,"6550 Mira Mesa Blvd., San Diego, CA 92121",,tasting room,"32.9071098, -117.1777588",32.9071098,-117.1777588
Groundswell Brewing Co.,2013,Groundswell Brewing Co.,"6304 Riverdale Street, San Diego, CA 92120",,tasting room,"32.7889952, -117.0997872",32.7889952,-117.0997872
"Groundswell Brewing Co. (Santee, 2017)",2017,Groundswell Brewing Co.,"10151 Prospect Avenue, Santee, CA 92071",,tasting room,"32.8307147, -116.9766879",32.8307147,-116.9766879
Guadalupe Brewery,2018,Guadalupe Brewery,"5650 El Camino Real, Carlsbad, CA 92008",,tasting room,"33.1395403, -117.2746495",33.1395403,-117.2746495
"Half Door Brewing Co. (Downtown, 2015)",2015,Half Door Brewing Co.,"903 Island Avenue, San Diego, CA 92101",,tasting room,"32.7102641, -117.1562711",32.7102641,-117.1562711
Helm's Brewing,2012,Helm's Brewing,"5640 Kearny Mesa Rd, Suite C/N, San Diego, CA 92111",,tasting room,"32.8373203, -117.1390676",32.8373203,-117.1390676
"Helix Brewing Co. (La Mesa, 2015)",2015,Helix Brewing Co.,"8101 Commercial Street, La Mesa, CA 91942",,tasting room,"32.7720182, -117.0233413",32.7720182,-117.0233413
"Hillcrest Brewing Company (Hillcrest, 2012)",2012,Hillcrest Brewing Company,"1458 University Ave, San Diego, CA 92103",,tasting room,"32.7491060, -117.1499114",32.749106,-117.1499114
"Home Brewing Co. (North Park, 2015)",2015,Home Brewing Co.,"2911 El Cajon Boulevard, Space #2, San Diego, CA 92104",,tasting room,"32.7550890, -117.1309940",32.755089,-117.130994
Horus Aged Ales,2018,Horus Aged Ales,"Oceanside, CA 92154",,tasting room,"33.2435330, -117.3091269",33.243533,-117.3091269
"Indian Joe Brewing (Vista, re-opened 2017)",2017,Indian Joe Brewing,"2123 Industrial Ct, Vista, CA 92081",,tasting room,"33.1694243, -117.2204901",33.1694243,-117.2204901
Intergalactic Brewing Co,2013,Intergalactic Brewing Co,"9835 Carroll Centre, Suite 108, San Diego, CA 92126",,tasting room,"32.8987471, -117.1206384",32.8987471,-117.1206384
"Iron Fist Brewing Company (Vista, 2010)",2010,Iron Fist Brewing Company,"1305 Hot Spring Way #101, Vista, CA 92081",,tasting room,"33.1450803, -117.2390501",33.1450803,-117.2390501
"Jacked Up Brewing (Escondido, 2017)",2017,Jacked Up Brewing,"800 West Grand Ave, Escondido, CA 92025",,tasting room,"33.1172440, -117.0916500",33.117244,-117.09165
Jamul Brewing Co.,2013,Jamul Brewing Co.,"Jamul, CA 91935",,tasting room,"32.7169988, -116.8761347",32.7169988,-116.8761347
"Julian Beer Co. (Julian, 2012; no tasting room as of 2016; renovated space July 2018) *",2016,Julian Brewing Company,"2315 Main Street, Julian, CA 92036",,brewery,"33.0793706, -116.6038382",33.0793706,-116.6038382
